,Tournament,Season,Year,Round
155,University of Virginia,Spring,2022,55.0
156,University of Virginia,Spring,2023,37.0
157,University of Virginia,Spring,2024,37.0
158,University of Virginia,Spring,2026,50.0
159,University of Virginia + Wellesley,Fall,2020,54.0
160,Villanova,Fall,2019,76.0
161,Washington University,Spring,2022,17.0
162,Wellesley,Fall,2019,65.0
163,Wellesley,Fall,2022,44.0
164,Wellesley,Fall,2025,34.0
165,Wellesley,Spring,2022,49.0
166,Wellesley,Spring,2023,75.0
167,Wellesley,Spring,2024,30.0
168,Wellesley,Spring,2025,37.0
169,Wesleyan,Fall,2024,54.0
170,Wesleyan,Fall,2025,60.0
171,Wesleyan,Spring,2022,49.0
172,Wesleyan,Spring,2023,60.0
173,Wesleyan + The College of New Jersey,Spring,2021,27.0
174,William and Mary,Fall,2021,35.0
175,William and Mary,Spring,2022,35.0
176,William and Mary,Spring,2024,36.0
177,William and Mary,Spring,2025,43.0
178,Williams,Fall,2023,44.0
179,Williams,Fall,2025,45.0
180,Williams,Spring,2024,48.0
181,Yale,Spring,2020,214.0
182,Yale,Spring,2023,123.0
183,Yale,Spring,2024,143.0
184,Yale,Spring,2025,114.0
185,Yale,Spring,2026,106.0
186,Fordham,Fall,2019,
187,UVA,Fall,2019,
188,Columbia,Fall,2019,
