Debater,Partner School,Rounds
Ana Marques Perez,George Washington,38
Anagha Khisti,UConn,14
Anahi Otavalo,Harvard,8
Anandya Sampath,William and Mary,6
Ananya Ganesh,Harvard,14
Ananya Kalahasti,George Washington,42
Ananya Kalahasti,Georgetown,22
Ananya Kalahasti,Northeastern,10
Ananya Kalahasti,Johns Hopkins,9
Ananya Kalahasti,Tufts,6
Ananya Kalahasti,Harvard,2
Anat Karapanagiotidou,University of Chicago,8
Andrea Ulloa,University of Chicago,20
Andres Mendoza Casas,Rutgers,8
Andres Mendozas Casas,Rutgers,20
Andrew Avalos,Northeastern,27
Andrew Chizewer,Stanford,6
Andrew Choi,NYU,14
Andrew Cui,University of Chicago,35
Andrew Harding,George Washington,35
Andrew Harrington,University of Chicago,14
Andrew Harrington,University of Pittsburgh,4
Andrew Kaman,University of Chicago,2
Andrew Kamen,University of Chicago,4
Andrew Lee,Georgetown,10
Andrew Li,Columbia,4
Andrew Liang,University of Chicago,4
Andrew Monteith,Brown,80
Andrew Monteith,Bates,26
Andrew Monteith,William and Mary,10
Andrew Monteith,Williams,10
Andrew Monteith,Johns Hopkins,8
Andrew Monteith,Penn,8
Andrew Monteith,Georgetown,6
Andrew Monteith,George Washington,4
Andrew Monteith,Columbia,2
Andrew Monteith,Northeastern,2
Andrew Monteith,University of Chicago,2
Andrew Pribe,University of Chicago,8
Andrew Robinson,Harvard,14
Andrew Rozenblit,Tufts,27
Andrew Rozenblit,Brandeis,9
Andrew Rozenblit,Columbia,8
Andrew Rozenblit,Northeastern,8
Andrew Shi,University of Chicago,118
Andrew Steptoe,Brown,5
Andrew Sun,University of Chicago,10
Andrew Yu,Harvard,6
Andrew Zhang,Johns Hopkins,2
Andrew Zhao,Yale,6
Andy Lin,University of Virginia,5
Andy Shufer,Georgetown,4
Andy Wang,Harvard,44
Anelise Peterson,Smith,18
Ang Sonam Sherpa,Harvard,13
Angel Asare,Princeton,16
Angela Colegio,Harvard,8
Angela Jia,Columbia,16
Angela Jia,University of Chicago,4
