Debater,Partner School,Rounds
Katrina Hotaling,Boston University,4
Katrina Hotaling,Brandeis,4
Katrina Hotaling,Wellesley,4
Katrina Hotaling,Northeastern,2
Katrina Pickett,University of Chicago,20
Kaushik Kandala,Northeastern,20
Kaveri Krishnamoorthy,Dartmouth,6
Kavin Jha,Northeastern,20
Kavin Jha,UConn,8
Kavin Jha,University of Massachusetts,7
Kavya Gopinath,Brown,8
Kavya Gopinath,Wellesley,6
Kavya Gopinath,Northeastern,2
Kayla Chan,Stanford,10
Kaylee Chen,Yale,4
Keir Adamson,Hamilton,8
Keira Chatwin,Stanford,6
Kellen Hoard,George Washington,8
Kelly Mu,University of Chicago,8
Kelvin Ortiz,Columbia,6
Kendra Gladu,Brandeis,26
Kenn Jiang,Swarthmore,17
Kensington Spear,Smith,4
Keshav Kapoor,University of Chicago,14
Kevin Gu,Harvard,4
Kevin Hao,Stanford,16
Kevin Keys,Princeton,10
Khanh Vu,Wellesley,10
Khoi Dinh,Fordham,8
Khumoetsile Molefakgotla,Harvard,24
Khuryeon Kim,Princeton,8
Khylan Stubblefield,Haverford,10
Kibalo Signan,University of Virginia,4
Kiera Kohl,Tufts,4
Kieran Mangla,William and Mary,10
Kiran Savkar,William and Mary,14
Kishka Bol,Brown,8
Kit Roesch,University of Virginia,4
Kivanc Peltek,Temple,4
Kj Kniering,NYU,22
Ko Lyn Cheang,Yale,4
Ko Lyn Cheang,Brown,3
Kobi Johnsson,University of Chicago,14
Kondi Phiri,Johns Hopkins,4
Konur Onufer,William and Mary,32
Konur Onufer,George Washington,4
Korey Candor,Drexel,4
Kristen Buckholt,George Washington,8
Kristofers Krumins,Columbia,2
Kurtis Lee,Brandeis,12
Kyle Cook,Tufts,40
Kyle Cook,Northeastern,16
Kyle Cook,Wellesley,12
Kyle Cook,Yale,6
Kyle Cook,University of Chicago,4
Kyler Parker,Yale,38
Kylie Berg,Yale,54
Kyllian Vong,University of Virginia,2
Kyuhee Jo,Johns Hopkins,20
Kyuhee Jo,Amherst,6
Kyuryeon Kim,Princeton,8
Lacey Jones,Boston College,16
Lana Weiser,Columbia,10
Landon Pryor,St. Mary's,8
Lara Philip,Washington University in St. Louis,10
Laura Giugno,University of Chicago,60
Laurel Campbell,University of Pittsburgh,4
Laurel Campbell,Johns Hopkins,2
Lauren Cho,Yale,20
Lauren Cho,Williams,4
Laurenn Vives,Boston University,24
Lawrence Wu,Northeastern,4
Layne Donovan,Columbia,13
Leandro Guevara,Georgetown,28
Leandro Guevara-Neyra,Georgetown,14
Lehv Neustadt,Lehigh,20
Leif Waage-Pickle,Williams,4
Lelan Hu,Yale,12
Lelan Hu,Johns Hopkins,4
Lelu Mayron,Brown,10
Lena Lofgren,Penn,8
Lena Lofgren,Harvard,4
Lena Lofgren,Smith,4
Leo Ferris,NYU,14
Leo Fleissig,Brown,50
Leo Fleissig,Bates,24
Leo Fleissig,Williams,10
Leo Fleissig,Wellesley,6
Leo Fleissig,NYU,4
Leo Fleissig,Harvard,2
Leo Morrison,NYU,4
Leo Nitczynski,Swarthmore,15
Leo Taylor-Hougham,American,16
Lesedi Chirikuutsi,Williams,4
Lesley Machimbidza,Dartmouth,18
Lex Jiganti,Haverford,16
Leyla Hagan,Georgetown,2
Lia Lubit,Brown,6
Liam Kieran,Boston College,16
Liam Zemach,Swarthmore,8
Liberty Prieb,Carnegie Mellon,18
Lila Ben-Yehuda,University of Massachusetts,6
Lila Graney,Lehigh,25
Liliana D'Aguiar,Smith,14
Liliana D'Aguiar,Amherst,10
Lillie Godinez,Wellesley,4
Lily Baughman,Fordham,48
Lily Baughman,American,2
Lily Napach,Williams,43
Lina Lin,Temple,10
Lincoln Belfort,George Washington,8
Lincoln Belfort,Tufts,6
Linden Li,Stanford,8
Lindsey Gradowski,Georgetown,102
Lindsey Gradowski,University of Chicago,8
Lindsey Gradowski,Yale,4
Ling Lu,Wellesley,6
Linnaea Strassfeld,University of Massachusetts,18
Livia Di Mauro,Northeastern,10
Livia Di Mauro,Smith,8
Livia Di Mauro,Amherst,4
Liz Chen,Rutgers,2
Liz Esterbrook,Fordham,4
Liz Kim,Williams,36
Liz Kim,Rutgers,6
Lizzie Waters,George Washington,32
Lizzie Waters,La Verne,6
Lizzie Waters,University of Virginia,6
Logan Ragland,Swarthmore,22
Lois Marmolejos,NYU,6
Lois Moyar,Princeton,12
Lorenz Soukup,Bates,8
Lorenzo Pinasco,Yale,4
Louis Verdié,Columbia,14
Louisa Miller-Out,Smith,10
Luana Volkova,Brandeis,6
Luca Ririnui,Yale,28
Lucas Castillo-West,Yale,16
Lucas Holman,Wesleyan,34
Lucas Maciel,Maryland,8
Lucas Maciel,Rutgers,6
Lucia Bronfman,Boston University,127
Lucia Bronfman,University of Chicago,10
Lucia Bronfman,Brandeis,8
Lucia Yang,Georgetown,22
Lucia Yang,American,8
Lucy Augustine,William and Mary,28
Lucy Brodkin,Columbia,43
Lucy Shah,Northeastern,80
Luka Misic,University of Pittsburgh,10
Luke Fernandez Suarez,Boston College,8
Luke Han,Georgetown,6
Luke Haner,St. Mary's,5
Luke Holmes,Johns Hopkins,10
Luke Shepard,University of Chicago,2
Luke Willis,University of Chicago,4
Luke Willis,Harvard,2
Lydia Kim,George Washington,19
Lydia Vlasto,William and Mary,12
Lyra-Anne Ku,Columbia,7
Maadhavan Prasanna,Bowdoin College,10
Maanya Pande,UConn,16
Mabel Rieger,George Washington,125
Mabel Rieger,Columbia,8
Mabel Rieger,Johns Hopkins,8
Mabel Rieger,Georgetown,6
Mabel Rieger,Rutgers,4
Mabel Rieger,University of Virginia,4
Mabel Rieger,Bates,2
Mac Hays,Brown,120
Mac Hays,Tufts,10
Mac Hays,NYU,8
Mac Hays,UT Austin,8
Mac Hays,University of Chicago,8
Mackenzie Devita,University of Pittsburgh,6
Mackenzie Wilson,Dartmouth,22
Maddie Edwards,Wellesley,6
Maddie Nagle,Yale,8
Maddie Naisbitt,Georgetown,131
Maddie Naisbitt,Binghamton University,4
Maddie Naisbitt,George Washington,4
Maddie Watson,Boston University,26
Maddie Watson,Brandeis,24
Maddie Watson,Wellesley,18
Maddie Watson,NYU,4
Maddie Watson,University of Virginia,4
Maddy Cheshire,Johns Hopkins,8
Madeleine Popofsky,Yale,14
Madeleine Wu,Dartmouth,8
Madeline Cheshire,Johns Hopkins,18
Madeline Cheshire,CUNY,4
Madeline Getchell,Smith,18
Madeline Tsao,Penn,8
Madeline Tsao,Yale,4
Madhumitha Nair,Northeastern,6
Mae Luccino,Fordham,4
Maeve Goldman,William and Mary,45
Maeve Goldman,Dartmouth,14
Maeve Kennedy,Wellesley,8
Maggie Mooney,University of Virginia,200
Maggie Mooney,William and Mary,16
Maggie Mooney,George Washington,12
Maggie Mooney,University of Chicago,2
Magnus Lim,Harvard,10
Mahi Khangura,Maryland,50
Mahpara Faatin,Harvard,8
Maia Decker,Yale,34
Maia Decker,Brandeis,6
Maia Decker,Smith,4
Mairan Hall,UConn,24
Maisy Coffey,Yale,10
Maiya Little,George Washington,70
Maiya Little,William and Mary,37
Maiya Little,Georgetown,22
Maiya Little,University of Virginia,10
Maiya Little,Maryland,5
Maiya Little,Rutgers,4
Malaika Burkholder,Boston College,10
Malcolm Davis,Swarthmore,16
Malcolm Ferguson,Maryland,12
Manav Mittal,Brown,38
Manav Mittal,Bates,24
Manav Mittal,Amherst,10
Manav Mittal,Columbia,6
Manav Mittal,George Washington,2
Manav Mittal,Tufts,2
Maneet Mehta,Yale,20
Manos Alevras,Yale,20
Manuel Machorro,Bates,24
Manuel Mascote,Columbia,8
Manuela Roncancio Roldan,Fordham,6
Manya Gupta,Penn,8
Marc Salameh,Boston College,8
Marc Salameh,Fordham,2
Marcel Cato,NYU,32
Marcos Werning,University of Chicago,2
Marcus Ye,Boston College,8
Margaret Gustafson,Amherst,14
Margaret Nakiganda,University of Chicago,22
Margaret Wasco,Fordham,26
Margot Norman,Dartmouth,58
Margot Norman,Boston University,8
Mari Chaparro,University of Massachusetts,4
Maria Coca,University of Chicago,6
Maria Pelaez,Yale,73
Maria Xu,Harvard,17
Mariam Almzainy,Bates,2
Mariana Colicchio,Yale,4
Mario Aguirre,Johns Hopkins,10
Mario Aguirre,Penn,6
Marios Kalpakis,Maryland,32
Marios Kalpakis,Rutgers,10
Mark Lee,Yale,27
Mark So,NYU,4
Markus Vaher,University of Chicago,8
Martha Jennings,George Washington,40
Martin Gaszner,William and Mary,14
Mary Tran,Smith,9
Masanori Adachi,Brandeis,20
Mason Blackburn,Maryland,4
Mason Buonadonna,American,8
Mason Buonadonna,Columbia,8
Mason Courtney,University of Delaware,14
Mason Miller,Washington University in St. Louis,8
Matej Cerman,Harvard,24
Mathew Goodbred,Dartmouth,4
Matias Calvo,University of Massachusetts,22
Matilda Swanson,MIT,4
Matt Franco,NYU,4
Matt Mauriello,Harvard,24
Matt Mauriello,University of Chicago,23
Matt Mauriello,Tufts,13
Matt Mauriello,Yale,10
Matt Mauriello,Johns Hopkins,8
Matt Mauriello,Dartmouth,7
Matt Mauriello,Brown,2
Matt Myers,University of Delaware,10
Matt Schoenfeld,Boston College,10
Matt Song,Yale,62
Matthew Alkire,Northeastern,2
Matthew Bruce,Boston College,8
Matthew Koretsky,MIT,4
Matthew Lee,University of Chicago,8
Matthew Moreno,Johns Hopkins,26
Matthew Noriega,Penn,4
Matthew Rubenstein,University of Chicago,26
Matthew Rubenstein,William and Mary,2
Matthew Simons,Columbia,20
Matthew Thompson,Wesleyan,8
Matthew Wilson,William and Mary,24
Matti Tan,Harvard,12
Max Haimes,Brown,6
Max Hodes,University of Chicago,4
Max Hodes,Harvard,2
Max Hurowitz,Boston University,46
Max Hurowitz,Brandeis,37
Max Hurowitz,Harvard,6
Max Kornfeld,NYU,32
Max Ma,University of North Carolina,4
Max Miller,Northeastern,16
Max Neuman,Columbia,6
Max O'Hare,Wesleyan,4
Max Salzinger,Princeton,6
Max Selcow,Tufts,8
Max Sheremeta,American,2
Max Waldman,Grinnell,8
Max Winzelberg,Dartmouth,12
Max Wu,University of Chicago,40
Max Xu,Brown,2
Maxum Rhode,University of Delaware,6
Maxwell Ciolek Passeri,Brandeis,20
Maxwell Gold,Hamilton,62
Maxwell Sheremata,Georgetown,16
Maxwell Sheremata,George Washington,6
Maxwell Sheremata,American,4
Maxwell Sheremeta,Georgetown,26
Maxwell Sheremeta,American,18
Maxwell Sheremeta,Penn,6
Maxwell Tabarrok,University of Virginia,12
Maya Benziger,Bates,8
Maya Burton,Georgetown,4
Maya Daly,Harvard,12
Maya Daly,UMBC,4
Maya El-Sharif,Penn,6
Maya Hsu,George Washington,8
Maya Johnson,Brandeis,18
Maya Koerber-Marx,Yale,8
Maya Mufson,Yale,36
Maya Perkash,Washington University in St. Louis,14
Maya Prakash,Amherst,4
Maya Razmi,Harvard,12
Maya Razmi,Johns Hopkins,2
Maya Rubin,Wellesley,58
Maya Rubin,Tufts,18
Maya Rubin,Amherst,11
Maya Rubin,Harvard,6
Maya Rubin,Boston University,4
Maya Rubin,Columbia,4
Maya Rubin,Smith,2
Maya Sachs,Williams,57
Maya Sachs,Swarthmore,12
Mazin Nadaf,Maryland,6
Meadow Brown,Bentley University,6
Meera Shukla,Northeastern,8
Meeros Khattaie,Johns Hopkins,28
Meg Kandarpa,Johns Hopkins,4
Megan Chan,George Washington,6
Megan Smith,University of Delaware,12
Megan Smith,University of North Carolina,4
Megan Wu,Swarthmore,16
Megan Zhang,Wellesley,12
Megha Prasad,American,6
Megha Prasad,George Washington,4
Meghan Murphy,Brown,8
Meghana Madhav,Rutgers,10
Meghana Madhav,University of Virginia,4
Mehreen Mirza,Williams,8
Mehreen Mirza,Northwestern,6
Mehreen Mirza,Smith,6
Mehul Agarwal,Johns Hopkins,36
Melanie Goldberg,Harvard,10
Melanie Guilderson,University of Massachusetts,20
Melanie Zhang,NYU,14
Melanie Zhang,Princeton,14
Melanie Zhang,Brandeis,10
Melanie Zhang,Brown,8
Melanie Zhang,Yale,7
Melanie Zhang,Harvard,6
Melanie Zhang,Northeastern,6
Melanie Zhang,Williams,2
Melina Piatti-Chayan,Fordham,4
Melissa Yasui,Northeastern,10
Mia Benzon,St. Mary's,10
Mia Rojas,University of Chicago,12
Mia Stephenson,Wellesley,4
Mia Stone-Molloy,Brown,28
Mia Stone-Molloy,Smith,7
Michael Alisky,Stanford,8
Michael Fortunato,Georgetown,8
Michael Fortunato,University of Pittsburgh,8
Michael Froid,Brown,29
Michael Froid,Rutgers,2
Michael Froid,Smith,2
Michael Galin,George Washington,10
Michael Galin,Maryland,8
Michael Hansen,University of Chicago,67
Michael Kwak,Yale,26
Michael Moran,University of Chicago,10
Michael Nazimok,CUNY,16
Michael Negussie,Columbia,8
Michael Ning,Yale,11
Michael Ryter,University of Chicago,8
Michael Sher,George Washington,2
Michael Zhao,Harvard,4
Michel Nehme,Harvard,16
Michelle Mayorga,CUNY,8
Michelle Tiecher,Fordham,8
Midhun Sadanand,Yale,26
Mihika Jain,University of Chicago,12
Mikaela Tajo,George Washington,6
Mikala Parnell,Princeton,4
Mikayla Zedek,Dartmouth,14
Mike Chen,NYU,6
Mike Schermerhorn,Bentley University,26
Mikka Wolff,Amherst,6
Mildred Castillo Bojorquez,Bates,12
Miles Kodama,Williams,16
Mimi Plawner,Boston University,79
Mimi Wu,Wellesley,74
Mimi Wu,Tufts,16
Mimi Wu,Boston University,12
Mimi Wu,Brandeis,10
Mimi Wu,Brown,4
Mimi Wu,Williams,4
Min Ko Ko,Harvard,10
Mingyu Chan,Princeton,4
Minji Kim,University of Chicago,4
Minju Sung,Northeastern,34
Minju Sung,Bates,8
Mira Lehman,Yale,14
Mirabel Raphael,Yale,64
Mitchell Mullen,Maryland,4
Moises Hernandez,University of Delaware,11
Mollie Hartenstein,Amherst,26
Mollie Micinilio,Boston University,16
Mollie Micinilio,Bates,6
Molly Bordoff,Columbia,4
Molly Callaghan,Harvard,46
Molly Thompson,George Washington,4
Monica Ochoa,Villanova,6
Monica Ochoa,Wellesley,6
Monica Ochoa,Northeastern,2
Monica Perez Ortiz,Boston University,6
Monica Perez Ortiz,Harvard,4
Morgan Adamson,American,6
Morgan Adamson,Lehigh,6
Morgan Coutu,University of Massachusetts,8
Mounisha Adams,Dartmouth,2
Mukudzeiishe Madzivire,Columbia,48
Mukudzeiishe Madzivire,University of Chicago,10
Mukudzeiishe Madzivire,George Washington,8
Musab Chummun,Penn,30
Musab Chummun,Johns Hopkins,2
Muthukumar Sundar,University of Chicago,19
Muxi Yu,Boston University,73
Muxi Yu,Brandeis,11
Muxi Yu,NYU,8
Muxi Yu,Harvard,6
Muzamil Godil,Johns Hopkins,30
Muzamil Godil,William and Mary,20
Muzamil Godil,Northeastern,15
Muzamil Godil,University of Chicago,14
Muzamil Godil,Brown,10
Muzamil Godil,Boston University,8
Muzamil Godil,Maryland,6
Muzamil Godil,Cornell,4
Muzzi,William and Mary,8
Muzzi Godil,Johns Hopkins,34
Muzzi Godil,Georgetown,14
Muzzi Godil,Brown,8
Muzzi Godil,Northeastern,6
Muzzi Godil,William and Mary,4
Muzzi Godil,University of Chicago,3
Mya Koffie,Princeton,8
Myles Able-Kehoe,Stony Brook University,10
Myra Kirmani,Stanford,10
Myra Niang,Boston University,4
Naarada Samarasinghe,William and Mary,12
Nabeel Raza,University of Virginia,2
Nadia Blouin,Fordham,4
Nadia Cho,Wellesley,6
Nandini Krishnan,Princeton,10
Naomi Cohen,Wellesley,14
Naomi Cohen,Brown,6
Naomi Long,George Washington,20
Naomi Mckenna,Amherst,10
Naomi Mckenna,University of Virginia,8
Narein Vignesh,Maryland,12
Nash Riebe,Brown,68
Nash Riebe,Northeastern,6
Natali Sarraf,Tufts,4
Natalie Brown,George Washington,22
Natalie Brown,William and Mary,2
Natalie Caloca,George Washington,16
Natalie Keim,Dartmouth,2
Natalie Martin,George Washington,4
Natalie Roots-Nowakowski,Carnegie Mellon,10
Natan Abramson,William and Mary,32
Natan Abramson,University of Pittsburgh,4
Nate Sumimoto,George Washington,56
Nathan Khoury,Amherst,10
Nathan Kovicak,Maryland,52
Nathan Master,American,6
Nathan Maurer,Bentley University,6
Nathan Spencer,Princeton,14
Nathan Tamkin,Dartmouth,32
Nathan Weibke,Washington University in St. Louis,6
Nathaniel Yoon,Johns Hopkins,73
Nathaniel Yoon,University of Massachusetts,10
Nathaniel Yoon,Northeastern,7
Nathaniel Yoon,Brown,6
Nathaniel Yoon,Georgetown,6
Nathaniel Yoon,Penn,6
Nathaniel Yoon,Yale,4
Navaneeth Rajan,University of Chicago,6
Naz Soysal,Yale,135
Naz Soysal,University of Chicago,28
Naz Soysal,Northeastern,8
Naz Soysal,Brown,5
Naz Soysal,Columbia,4
Naz Soysal,Penn,4
Neftali Reynoso,Boston University,6
Neftalí Reynoso,Boston University,2
Neil Chibber,Maryland,21
Neil He,Penn,10
Neil Rathaur,Binghamton University,4
Nerary Flores,American,2
Netra Easwaran,Yale,70
Netra Easwaran,Tufts,8
Netra Easwaran,Dartmouth,4
Netra Easwaran,Harvard,4
Nicholas Devito,Tufts,22
Nicholas Devito,Wellesley,6
Nicholas Devito,Penn,2
Nicholas Hagedorn,Princeton,8
Nicholas Hayes,Rutgers,8
Nicholas Hayes,University of Virginia,6
Nicholas Haylock,St. Mary's,5
Nicholas Humberto Perez,Johns Hopkins,2
Nick Devito,University of Chicago,54
Nick Devito,Tufts,36
Nick Devito,Boston University,16
Nick Devito,Northeastern,14
Nick Devito,William and Mary,10
Nick Devito,Brandeis,6
Nick Devito,George Washington,6
Nick Devito,Harvard,6
Nick Devito,Johns Hopkins,6
Nick Devito,Wellesley,6
Nick Devito,Yale,5
Nick Devito,Georgetown,4
Nick Devito,University of Virginia,4
Nick Devito,Williams,4
Nick Hildebrand,George Washington,47
Nick Hildebrand,American,6
Nick Neustadt,American,10
Nick Neustadt,Lehigh,10
Nick Parra,University of Chicago,12
Nicolas Millan,Wesleyan,14
Nicole Asuamah,Boston University,4
Nicole Buckley,Northeastern,4
Nicole Dwaah,Carnegie Mellon,8
Nicole Kagan,Harvard,18
Nicole Kagan,Yale,10
Nicole Kagan,American,6
Nicole Kagan,Northeastern,6
Nicole Kagan,Boston University,4
Nicole Kagan,University of Chicago,4
Nicole Rodriguez,University of Chicago,14
Nicole Salinas-Reyes,Yale,8
Nicole Soares,UConn,14
Niharika Rao,Columbia,8
Nikhil Ganesh,Carnegie Mellon,30
Nikhil Saxena,Boston University,10
Nikhita Chakraborty,University of Pittsburgh,2
Nikhita Thakuria,George Washington,8
Niki Schrift,Northeastern,124
Niki Schrift,NYU,6
Nikka Denicenko,CUNY,22
Nikki Han,Princeton,2
Nikki Schuldt,Smith,2
Nikolaos Efthymiadis,University of Chicago,20
Nile Mahmood,Lehigh,8
Nile Mahmood,Temple,8
Nile Mahmood,Tufts,8
Nir Amin,Harvard,42
Nir Amin,Yale,4
Nish Sinha,University of Chicago,52
Nish Sinha,University of Virginia,8
Nish Sinha,Harvard,2
Nita Hsu,Columbia,23
Nita Hsu,Yale,8
Niti Ghosh,Princeton,8
Nitya Matcha,Maryland,37
Nitya Matcha,Rutgers,6
Noah Fine,Johns Hopkins,2
Noah Kim,Stony Brook University,8
Noah Thurm,Georgetown,2
Noah Venable,Brown,8
Noam Levinsky,University of Chicago,6
Noku Zuze,Bates,6
Nokutenda Zuze,Bates,22
Nolan Greenways,Temple,34
Nolan Greenways,University of Virginia,12
Nolan Greenways,Maryland,8
Nolan Greenways,Drexel,6
Nolan Greenways,University of Delaware,6
Nolan Yencho,Wesleyan,4
Nora Kaul Hoelgaard,George Washington,6
Nuria Martin,American,22
Nushba Tajreen,Dartmouth,12
Odin Farkas,Stanford,4
Olive Neckers,Smith,26
Oliver Gainer,William and Mary,12
Oliver Katzman,Williams,64
Oliver Katzman,Bates,4
Oliver Mccammon,Johns Hopkins,12
Oliver Qiu,Tufts,6
Olivia Epley,Temple,2
Olivia Peltier,Brandeis,6
Olivia Saunders,George Washington,20
Olivia Wang,Tufts,2
Olympia Pratt,Tufts,10
Omar Hamarshi,Harvard,4
Omesh Dhar Dwivedi,Drexel,12
Omesh Dhar Dwivedi,American,6
Omesh Dhar Dwivedi,Princeton,6
Omesh Dhar Dwivedi,Georgetown,4
Ong Unjitwattana,University of Virginia,55
Ong Unjitwattana,Temple,4
Orion Padden,George Washington,34
Oscar Calipari,Stony Brook University,8
Oscar Cloutier Potter,Boston University,145
Oscar Cloutier Potter,Wellesley,10
Oscar Wang,Yale,4
Owen Fellows,Hamilton,42
Owen Heaphy,Yale,2
Owen Mullins,University of Massachusetts,28
Owen Tritt,Swarthmore,4
Oyuka Lyndon,Bates,4
Ozodbek Eshboboev,Amherst,10
Pakhi Chamaria,Northeastern,12
Pallavi Menon,Temple,8
Pallavi Menon,Brandeis,6
Paloma O'Connor,Harvard,30
Paola Apolinario,Rutgers,22
Parjanya Tiwari,University of Chicago,6
Parker Alleman,Amherst,41
Parker Alleman,Bates,27
Parker Alleman,Columbia,8
Parker Alleman,Harvard,8
Parker Alleman,Brown,6
Parker Alleman,University of Virginia,4
Parker Kelly,George Washington,53
Parker Snipes,Swarthmore,10
Parth Jain,Princeton,16
Parth Jain,Brown,6
Parth Tailor,Maryland,65
Patricia Ong,University of Chicago,6
Patrick Dugan,Columbia,8
Patrick Han,Georgetown,76
Patrick Han,Johns Hopkins,6
Patrick Han,George Washington,4
Patrick Kimmins,Bentley University,8
Patryk Stelmaszek,University of Chicago,16
Patton Hahn,Yale,4
Paul Jeong,Johns Hopkins,4
Paul Mitalipov,Stanford,9
Paul Mitalipov,Yale,2
Pedro Barata,Hamilton,42
Pedro Tezna,Drexel,10
Pei-Jun Huang,Tufts,2
Perry Beckett,Brown,66
Perry Beckett,Bates,12
Perry Beckett,Northeastern,4
Perry Beckett,Yale,2
Peter Kladais,Smith,6
Peter Manou,Rutgers,108
Peter Manou,Temple,10
Peter Manou,Johns Hopkins,8
Peter Manou,George Washington,4
Peter Perez,University of Virginia,8
Peter Perez,University of Chicago,6
Peter Tarpley,Johns Hopkins,6
Peter Tarpley,Rutgers,6
Peyton Jackson,Dartmouth,16
Peyton Klem,University of Virginia,6
Philip Annabi,Fordham,18
Phuong Doan,Amherst,25
Phuong Doan,Columbia,4
Pooja Nagareddygari,Princeton,10
Poorvi Kumar,University of Chicago,10
Pragna Yalamanchili,Maryland,16
Pramod Gururajan,Columbia,4
Pranav Battu,Harvard,14
Pranav Battu,Washington University in St. Louis,2
Pranav Gargipati,Penn,6
Pranav Gargipati,Princeton,2
Pranav Garigipati,Rutgers,230
Pranav Garigipati,Johns Hopkins,30
Pranav Garigipati,Columbia,10
Pranav Garigipati,Boston University,8
Pranav Garigipati,Northeastern,5
Pranav Garigipati,Brandeis,4
Pranav Garigipati,Princeton,2
Pranav Sasikumar,Maryland,68
Pranav Sasikumar,Temple,8
Pranaya Balaji,Yale,2
Pranika Singh,Maryland,61
Prastik Mohanraj,Yale,8
Prastik Mohanraj,Amherst,6
Pratyush Sharma,University of Chicago,26
Prem Dave,UConn,26
Prerana Srinivasan,University of Virginia,2
Presley Chomba,Harvard,16
Presley Jarrell,Carnegie Mellon,10
Preston Johnston,Princeton,6
Preston Lieu,Princeton,16
Priyanshi Bagga,Brown,8
Priyanshi Bagga,Wellesley,6
Prottoya Chowdhury,Brown,46
Prottoya Chowdhury,Bates,8
Pètra De Beer,Penn,4
Qi Wang,Williams,8
Qifei Min,University of Virginia,4
Qing Hu,Smith,8
Quinn Drennan,William and Mary,10
Quinn Himmelberg,American,10
Quynh Anh Truc,Lehigh,10
Rachel Bartz,William and Mary,48
Rachel Blume,University of Chicago,22
Rachel Blume,CUNY,6
Rachel Disler,George Washington,84
Rachel Disler,Georgetown,38
Rachel Disler,University of Virginia,9
Rachel Disler,University of Chicago,6
Rachel Fei,Wellesley,32
Rachel Fei,Smith,10
Rachel Fei,University of Chicago,6
Rachel Fei,Brandeis,2
Rachel Leone,Boston University,22
Rachel Li,University of Chicago,2
Rachel Pepper,Maryland,14
Rachel Pineda,Pace,6
Rachel Robin,Maryland,32
Radvilas Pelanis,Harvard,4
Raelin Engrav,University of Chicago,20
Rafael Rodriguez Alvarez,University of Massachusetts,12
Raffay Tabassum,Amherst,2
Raghav Ranawat,American,2
Rahul Kalavagunta,Penn,10
Rahul Kalavagunta,Yale,10
Rahul Kalavagunta,Princeton,4
Rahul Kalavagunta,Rutgers,4
Rahul Yehiya,Boston University,20
Raina Batra,Amherst,171
Raina Batra,Columbia,12
Raina Batra,Georgetown,8
Raina Batra,Tufts,8
Rajul Bothra,Rutgers,25
Rakshan Chadha,UConn,14
Ranen Miao,Harvard,4
Rasandi Fernando,CUNY,2
Rasmee Ky,Harvard,12
Ravi Naidu,Swarthmore,21
Ravi Simon,Penn,4
Ray Cocoran,Maryland,4
Ray Eggerts,Brown,4
Rayan Sheikh,NYU,26
Rayan Sheikh,Rutgers,10
Rayan Sheikh,Penn,8
Rayan Sheikh,Fordham,6
Rayan Sheikh,University of Chicago,6
Rayan Sheikh,George Washington,4
Raymond Ha,University of Chicago,20
Raynathan Christopher,Penn,2
Rebecca Han,Princeton,12
Rebecca Ronai,Dartmouth,8
Red Kitchen,Temple,32
Reed Easterling,NYU,28
Reed Easterling,Fordham,14
Reed Easterling,Tufts,10
Reed Easterling,George Washington,8
Reed Easterling,Rutgers,8
Reed Easterling,Brown,4
Rehan Merchant,Fordham,10
Rena Liu,Yale,4
Renee Li,William and Mary,4
Rennie Lee,American,38
Reyna Diamond,Yale,4
Reyya Kalolwala,Lehigh,10
Rhea Jain,Stanford,4
Rhea Nayyar,NYU,24
Rhea Singh,Johns Hopkins,10
Ria Thakur,Johns Hopkins,27
Ricky Huang,Brown,28
Ricky Huang,Bates,11
Ricky Kiamilev,University of Delaware,2
Rico Chandra,Yale,8
Rikhil Ranjit,Stanford,6
Riley Lavrovsky,Binghamton University,4
Riley Sisk,University of Chicago,22
Rish Deshide,Princeton,2
Risha Krishnan,Columbia,8
Rishi Vunnam,Maryland,36
Rishven Pravin,Boston University,93
Rishven Pravin,Brandeis,28
Rishven Pravin,Williams,8
Rishven Pravin,Tufts,6
Rishven Pravin,Wellesley,4
Rishven Pravin,Northeastern,2
Rita Dai,Tufts,14
Rita Mayevskaya,Boston University,34
Rita Mayevskaya,Brandeis,2
Riya Gupta,William and Mary,8
Rob Nielsen,Boston University,8
Robbie Safran,Georgetown,91
Robbie Safran,George Washington,48
Robbie Safran,Brown,16
Robbie Safran,Temple,6
Robbie Safran,William and Mary,6
Robby Gray,Williams,10
Robert Brown,University of Chicago,47
Robert Brown,Brown,2
Robert Chong,Georgetown,6
Robert Chong,Penn,4
Robert Cropp,Bates,20
Robert Fu,Rutgers,8
Robert Fu,Williams,6
Robert Fu,Dartmouth,2
Robert Kirkwood,Yale,30
Robert Nielsen,Williams,14
Robert Nielsen,Smith,8
Robert Rendine,George Washington,112
Robert Rendine,Georgetown,44
Robert Rendine,Brown,39
Robert Rendine,William and Mary,19
Robert Rendine,NYU,6
Robert Vogel,CUNY,6
Robiah Arefin Ibn Mahmud,Amherst,14
Robin Gloss,Johns Hopkins,38
Robin Gloss,George Washington,24
Robin Gloss,La Verne,24
Robin Gloss,Tufts,6
Robin Gloss,Georgetown,4
Robin Gloss,University of Pittsburgh,4
Rocco Spinozzi-D'Andrea,Haverford,34
Rocco Spinozzi-D'Andrea,Temple,26
Rocco Spinozzi-D'Andrea,Georgetown,12
Rocco Spinozzi-D'Andrea,Rutgers,10
Rocco Spinozzi-D'Andrea,Columbia,6
Rocco Spinozzi-D'Andrea,Drexel,4
Rocket Drew,Brown,53
Rodda John,Johns Hopkins,8
Rodda John,Smith,8
Rodda John,Williams,8
