id,name,date,season,teams,novice_debaters,special,online
909,Yale,10/27/2006,2006-07,101.0,34.0,,
910,Princeton,03/31/2007,2006-07,77.0,68.0,,
911,Providence College,03/24/2007,2006-07,30.0,28.0,,
912,Amherst,04/14/2007,2006-07,50.0,51.0,,
913,Rutgers,04/14/2007,2006-07,30.0,28.0,,
914,Clark,04/07/2007,2006-07,27.0,25.0,,
915,University of Chicago,04/07/2007,2006-07,29.0,22.0,,
916,Bryn Mawr,02/10/2007,2006-07,24.0,22.0,,
917,Swarthmore,04/07/2007,2006-07,36.0,31.0,,
918,Dartmouth,01/20/2007,2006-07,52.0,50.0,,
919,NYU,02/03/2007,2006-07,100.0,80.0,,
920,Haverford,03/24/2007,2006-07,32.0,26.0,,
921,Brandeis,03/17/2007,2006-07,37.0,27.0,,
922,UMBC,03/10/2007,2006-07,27.0,23.0,,
923,West Point,03/03/2007,2006-07,35.0,40.0,,
924,Columbia,02/24/2007,2006-07,73.0,68.0,,
925,William and Mary,02/17/2007,2006-07,35.0,26.0,,
926,Middlebury,01/13/2007,2006-07,28.0,24.0,,
927,Bucknell,12/03/2006,2006-07,23.0,29.0,,
928,Fordham,11/17/2006,2006-07,69.0,54.0,,
929,Maryland,10/13/2006,2006-07,33.0,30.0,,
930,George Washington,11/03/2006,2006-07,68.0,44.0,,
931,UMBC,09/23/2006,2006-07,32.0,20.0,,
932,University of Virginia,03/17/2007,2006-07,16.0,9.0,,
933,Mount Holyoke,03/10/2007,2006-07,38.0,31.0,,
934,MIT,12/03/2006,2006-07,72.0,75.0,,
935,Boston University,02/10/2007,2006-07,76.0,75.0,,
936,Smith,09/23/2006,2006-07,69.0,61.0,,
937,Wellesley,03/03/2007,2006-07,36.0,35.0,,
938,Stanford,03/03/2007,2006-07,27.0,25.0,,
939,Skidmore,02/24/2007,2006-07,25.0,24.0,,
940,Brown,11/03/2006,2006-07,117.0,147.0,,
941,American,10/20/2006,2006-07,39.0,27.0,,
942,Cornell,10/20/2006,2006-07,31.0,34.0,,
943,Wesleyan,10/13/2006,2006-07,75.0,71.0,,
944,Williams,02/17/2007,2006-07,21.0,31.0,,
945,Penn,11/10/2006,2006-07,84.0,104.0,ProAms,
946,Tufts,11/10/2006,2006-07,62.0,70.0,ProAms,
947,Harvard,10/07/2006,2006-07,134.0,123.0,,
948,Johns Hopkins,09/16/2006,2006-07,54.0,31.0,,
949,Fordham,04/08/2006,2005-06,73.0,28.0,Nationals,
950,Maryland,10/21/2005,2005-06,27.0,23.0,,
951,Clark,03/31/2006,2005-06,39.0,39.0,,
952,Rutgers,01/20/2006,2005-06,38.0,27.0,,
953,University of Chicago,03/31/2006,2005-06,37.0,31.0,,
954,Swarthmore,03/31/2006,2005-06,60.0,62.0,,
955,Yale,03/24/2006,2005-06,94.0,97.0,,
956,Cornell,03/10/2006,2005-06,26.0,22.0,,
957,University of Virginia,03/17/2006,2005-06,26.0,22.0,,
958,Haverford,09/16/2005,2005-06,33.0,20.0,,
959,Columbia,10/14/2005,2005-06,75.0,54.0,,
960,Providence College,03/17/2006,2005-06,40.0,37.0,,
961,UMBC,03/10/2006,2005-06,24.0,25.0,,
962,Stanford,03/03/2006,2005-06,39.0,19.0,,
963,Temple,03/03/2006,2005-06,32.0,26.0,,
964,Boston University,02/10/2006,2005-06,69.0,71.0,,
965,Mount Holyoke,03/03/2006,2005-06,33.0,25.0,,
966,Fordham,11/18/2005,2005-06,81.0,78.0,,
967,American,10/28/2005,2005-06,29.0,31.0,,
968,Harvard,10/07/2005,2005-06,161.0,145.0,,
969,Amherst,02/24/2006,2005-06,39.0,41.0,,
970,Princeton,02/24/2006,2005-06,74.0,73.0,,
971,Vassar,10/21/2005,2005-06,28.0,25.0,,
972,William and Mary,02/17/2006,2005-06,38.0,32.0,,
973,Bates,02/17/2006,2005-06,32.0,25.0,,
974,Bryn Mawr,02/10/2006,2005-06,55.0,43.0,,
975,Brandeis,11/04/2005,2005-06,82.0,80.0,,
976,Dartmouth,01/13/2006,2005-06,42.0,40.0,,
977,Brown,10/28/2005,2005-06,92.0,105.0,,
978,Middlebury,11/11/2005,2005-06,39.0,46.0,,
979,Bucknell,12/02/2005,2005-06,25.0,23.0,,
980,NYU,02/03/2006,2005-06,105.0,89.0,,
981,Penn,11/11/2005,2005-06,74.0,86.0,,
982,George Washington,11/04/2005,2005-06,41.0,46.0,,
983,Wesleyan,10/14/2005,2005-06,50.0,57.0,,
984,MIT,12/02/2005,2005-06,87.0,87.0,,
985,Johns Hopkins,09/09/2005,2005-06,42.0,22.0,,
986,Williams,09/16/2005,2005-06,35.0,22.0,,
987,UMBC,09/23/2005,2005-06,40.0,41.0,,
988,Smith,09/30/2005,2005-06,50.0,49.0,,
989,Smith,09/15/2018,2018-19,26.0,13.0,,
990,William and Mary,09/07/2018,2018-19,18.0,0.0,,
991,Pitt,09/15/2018,2018-19,22.0,9.0,,
992,Williams (Brandeis),09/07/2018,2018-19,21.0,2.0,,
993,University of Virginia,09/01/2018,2018-19,35.0,4.0,,
