id,name,date,season,teams,novice_debaters,special,online
199,Georgetown,04/08/2022,2021-22,20.0,25.0,,Online
200,Princeton + University of Massachusetts,03/25/2022,2021-22,43.0,38.0,,Online
201,Washington University + Villanova,04/01/2022,2021-22,8.0,8.0,,Online
202,Swarthmore,03/18/2022,2021-22,40.0,35.0,,
203,Brandeis,03/11/2022,2021-22,35.0,28.0,,
204,William and Mary,02/25/2022,2021-22,15.0,16.0,,
205,Yale,03/04/2022,2021-22,36.0,35.0,,Online
206,Wesleyan,02/25/2022,2021-22,21.0,25.0,ProAms,Online
207,Rutgers,02/18/2022,2021-22,24.0,16.0,,
208,Northeastern,02/25/2022,2021-22,57.0,62.0,ProAms,
209,Maryland,02/18/2022,2021-22,12.0,13.0,,Online
210,Smith,02/11/2022,2021-22,12.0,24.0,Novice,Online
211,Pitt + CMU,02/04/2022,2021-22,15.0,19.0,,Online
212,George Washington,02/04/2022,2021-22,21.0,21.0,,
213,Williams,01/21/2022,2021-22,27.0,12.0,,Online
214,Dartmouth,01/14/2022,2021-22,25.0,22.0,,Online
215,University of Virginia,12/03/2021,2021-22,28.0,28.0,,Online
216,Wesleyan + Temple,11/19/2021,2021-22,37.0,34.0,,Online
217,Fordham + George Washington,11/12/2021,2021-22,124.0,156.0,ProAms,Online
218,Tufts + Maryland,11/05/2021,2021-22,54.0,56.0,,Online
219,Johns Hopkins + American,10/29/2021,2021-22,16.0,16.0,,Online
220,Northeastern + Boston College,10/22/2021,2021-22,20.0,22.0,BIPOC,Online
221,Columbia + Smith,10/15/2021,2021-22,36.0,45.0,,Online
222,Brown,10/08/2021,2021-22,35.0,38.0,,Online
223,Harvard + Penn,10/01/2021,2021-22,58.0,58.0,,Online
224,Boston University,09/24/2021,2021-22,103.0,207.0,Novice,Online
225,William and Mary,09/10/2021,2021-22,14.0,4.0,,Online
226,Binghamton University,09/03/2021,2021-22,8.0,1.0,,Online
227,University of Virginia + Johns Hopkins,04/23/2021,2020-21,51.0,26.0,Nationals,Online
228,Wellesley + The College of New Jersey,04/16/2021,2020-21,12.0,13.0,Gender Minority,Online
229,Temple + Dartmouth + Wesleyan,04/09/2021,2020-21,45.0,48.0,,Online
230,Princeton + Northeastern + Bates,04/02/2021,2020-21,52.0,45.0,,Online
231,Brown + West Point + Boston College,03/26/2021,2020-21,31.0,27.0,,Online
232,Swarthmore + American + Moody Bible Institute,03/19/2021,2020-21,22.0,15.0,,Online
233,Brandeis + Franklin and Marshall + Berkeley,03/12/2021,2020-21,24.0,26.0,,Online
234,Stanford + CUNY + William and Mary,03/05/2021,2020-21,36.0,38.0,,Online
235,Williams + Georgetown,02/26/2021,2020-21,31.0,24.0,,Online
236,Boston University + Maryland,02/19/2021,2020-21,86.0,90.0,,Online
237,NYU + Washington University,02/12/2021,2020-21,21.0,16.0,,Online
238,Rutgers + Yale,02/05/2021,2020-21,35.0,14.0,,Online
239,George Washington,01/29/2021,2020-21,21.0,17.0,,Online
240,Villanova + Amherst,01/22/2021,2020-21,19.0,17.0,,Online
241,University of Chicago + Northwestern,01/15/2021,2020-21,28.0,25.0,,Online
242,CMU,01/08/2021,2020-21,23.0,20.0,,Online
243,Franklin and Marshall,03/06/2020,2019-20,16.0,9.0,,
244,Tufts,03/06/2020,2019-20,37.0,33.0,,
245,Swarthmore,02/28/2020,2019-20,43.0,35.0,,
246,Wellesley,02/28/2020,2019-20,48.0,47.0,,
247,CUNY,02/21/2020,2019-20,35.0,43.0,ProAms,
248,Yale,02/21/2020,2019-20,89.0,94.0,ProAms,
249,George Washington,02/14/2020,2019-20,40.0,31.0,,
250,Northeastern,02/14/2020,2019-20,40.0,40.0,,
251,Rutgers,02/07/2020,2019-20,83.0,90.0,,
252,Washington University in St. Louis,01/31/2020,2019-20,8.0,7.0,Expansion,
253,Brandeis,01/31/2020,2019-20,61.0,54.0,,
254,Georgetown,01/31/2020,2019-20,66.0,63.0,,
255,Williams,01/24/2020,2019-20,23.0,20.0,,
256,University of Virginia,01/24/2020,2019-20,32.0,28.0,,
257,Carnegie Mellon,01/17/2020,2019-20,24.0,18.0,,
258,Tufts,01/17/2020,2019-20,37.0,31.0,,
259,University of Chicago,01/10/2020,2019-20,24.0,10.0,Expansion,
260,Brandeis,12/06/2019,2019-20,100.0,100.0,,
261,Villanova,12/06/2019,2019-20,32.0,26.0,,
262,Fordham,11/22/2019,2019-20,91.0,59.0,,
263,Amherst,11/15/2019,2019-20,54.0,64.0,,
264,CUNY,11/15/2019,2019-20,32.0,26.0,,
265,Johns Hopkins,11/15/2019,2019-20,52.0,46.0,,
266,Wellesley,11/08/2019,2019-20,27.0,34.0,Gender Minority,
267,The College of New Jersey,11/08/2019,2019-20,25.0,22.0,Gender Minority,
268,Northeastern,11/01/2019,2019-20,78.0,87.0,ProAms,
269,American,11/01/2019,2019-20,91.0,95.0,ProAms,
270,University of Pittsburgh,10/25/2019,2019-20,21.0,20.0,Expansion,
271,Yale,10/25/2019,2019-20,176.0,100.0,,
272,Penn,10/18/2019,2019-20,54.0,48.0,,
273,Brown,10/18/2019,2019-20,64.0,69.0,,
274,Harvard,10/11/2019,2019-20,136.0,80.0,,
275,Columbia,10/04/2019,2019-20,98.0,115.0,,
276,Maryland,10/04/2019,2019-20,49.0,54.0,,
277,Smith,09/27/2019,2019-20,39.0,29.0,,
278,Haverford,09/27/2019,2019-20,31.0,24.0,,
279,University of Virginia,09/27/2019,2019-20,22.0,13.0,,
280,Swarthmore,09/20/2019,2019-20,73.0,146.0,Novice,
281,George Washington,09/20/2019,2019-20,47.0,94.0,Novice,
282,Boston University,09/20/2019,2019-20,98.0,196.0,Novice,
283,Brown,09/13/2019,2019-20,27.0,0.0,,
284,William and Mary,09/13/2019,2019-20,19.0,2.0,,
285,Binghamton University,09/07/2019,2019-20,26.0,5.0,Expansion,
286,Johns Hopkins,04/26/2019,2018-19,67.0,34.0,Nationals,
287,Wellesley,04/19/2019,2018-19,17.0,13.0,Gender Minority,
288,George Washington,04/19/2019,2018-19,19.0,17.0,Gender Minority,
289,Dartmouth,04/12/2019,2018-19,28.0,35.0,,
290,The College of New Jersey,04/12/2019,2018-19,42.0,43.0,,
291,Providence College,04/05/2019,2018-19,34.0,45.0,,
292,Swarthmore,04/05/2019,2018-19,66.0,56.0,,
293,Princeton,03/29/2019,2018-19,116.0,109.0,,
294,American,03/22/2019,2018-19,60.0,57.0,,
295,Northeastern,03/22/2019,2018-19,50.0,47.0,,
296,Brown,03/15/2019,2018-19,40.0,32.0,,
297,William and Mary,03/15/2019,2018-19,16.0,10.0,,
298,Temple,03/15/2019,2018-19,11.0,8.0,,
299,Stanford,03/16/2019,2018-19,47.0,29.0,,
300,Wellesley,03/08/2019,2018-19,16.0,15.0,,
301,Franklin and Marshall,03/08/2019,2018-19,32.0,33.0,,
302,Boston University,03/01/2019,2018-19,47.0,45.0,,
303,NYU,03/01/2019,2018-19,36.0,42.0,,
304,Yale,02/22/2019,2018-19,97.0,100.0,ProAms,
305,CUNY,02/22/2019,2018-19,56.0,60.0,,
306,University of Chicago,02/15/2019,2018-19,11.0,12.0,,
307,Binghamton University,02/15/2019,2018-19,21.0,18.0,,
308,University of Virginia,02/15/2019,2018-19,37.0,33.0,,
309,Georgetown,02/08/2019,2018-19,66.0,68.0,,
310,Bates,02/08/2019,2018-19,19.0,14.0,,
311,Villanova,02/01/2019,2018-19,47.0,39.0,,
312,Brandeis,02/01/2019,2018-19,53.0,51.0,,
313,Tufts,01/18/2019,2018-19,46.0,41.0,,
314,Carnegie Mellon,01/18/2019,2018-19,33.0,33.0,,
315,West Point,01/11/2019,2018-19,25.0,18.0,,
316,Wesleyan,12/07/2018,2018-19,33.0,28.0,,
317,Haverford,11/30/2018,2018-19,42.0,44.0,,
318,Fordham,11/16/2018,2018-19,75.0,71.0,,
319,Moody Bible Institute,11/16/2018,2018-19,24.0,27.0,,
320,Northeastern,11/09/2018,2018-19,84.0,93.0,ProAms,
321,American,11/09/2018,2018-19,80.0,99.0,ProAms,
322,CUNY,11/09/2018,2018-19,43.0,50.0,ProAms,
323,Penn,11/02/2018,2018-19,80.0,70.0,,
324,Brown,11/02/2018,2018-19,81.0,88.0,,
325,The College of New Jersey,10/26/2018,2018-19,26.0,18.0,,
326,Rutgers,10/19/2018,2018-19,95.0,88.0,,
327,George Washington,10/12/2018,2018-19,58.0,54.0,,
328,Tufts,10/12/2018,2018-19,63.0,78.0,,
329,Harvard,10/06/2018,2018-19,152.0,142.0,,
330,Maryland,09/28/2018,2018-19,44.0,40.0,,
331,Columbia,09/28/2018,2018-19,69.0,64.0,,
332,Johns Hopkins,09/21/2018,2018-19,49.0,98.0,Novice,
333,Boston University,09/21/2018,2018-19,121.0,242.0,,
334,Swarthmore,09/21/2018,2018-19,52.0,104.0,Novice,
335,Smith + Amherst,03/30/2018,2017-18,26.0,33.0,,
336,William and Mary,02/09/2018,2017-18,17.0,9.0,,
337,Washington University in St. Louis,01/19/2018,2017-18,15.0,28.0,,
338,Johns Hopkins,04/20/2018,2017-18,72.0,37.0,Nationals,
339,Wellesley,04/13/2018,2017-18,51.0,70.0,,
340,Princeton,04/06/2018,2017-18,119.0,134.0,,
341,Swarthmore,03/30/2018,2017-18,68.0,64.0,,
342,Boston University,03/23/2018,2017-18,34.0,37.0,,
343,American,03/23/2018,2017-18,45.0,32.0,,
344,Providence College,03/16/2018,2017-18,25.0,28.0,,
345,Temple,03/16/2018,2017-18,28.0,21.0,,
346,Franklin and Marshall,03/09/2018,2017-18,25.0,21.0,,
347,Brown,03/09/2018,2017-18,48.0,50.0,,
348,Stanford,03/02/2018,2017-18,56.0,54.0,,
349,The College of New Jersey,03/02/2018,2017-18,24.0,22.0,,
350,Bates,01/19/2018,2017-18,16.0,17.0,,
351,CUNY,02/23/2018,2017-18,51.0,61.0,ProAms,
352,Yale,02/23/2018,2017-18,95.0,106.0,ProAms,
353,George Washington,02/16/2018,2017-18,41.0,44.0,,
354,University of Chicago,02/16/2018,2017-18,20.0,23.0,,
355,Dartmouth,02/16/2018,2017-18,22.0,16.0,,
356,Binghamton University,02/09/2018,2017-18,8.0,9.0,,
357,Tufts,02/09/2018,2017-18,57.0,61.0,,
358,Rutgers,02/02/2018,2017-18,98.0,94.0,,
359,Carnegie Mellon,01/12/2018,2017-18,13.0,12.0,,
360,University of Virginia,04/13/2018,2017-18,37.0,42.0,,
361,NYU,01/26/2018,2017-18,52.0,49.0,,
362,Georgetown,01/19/2018,2017-18,49.0,46.0,,
363,Northeastern,01/12/2018,2017-18,28.0,25.0,,
364,The College of New Jersey,12/01/2017,2017-18,39.0,36.0,,
365,Brandeis,12/01/2017,2017-18,103.0,95.0,,
366,Fordham,11/17/2017,2017-18,116.0,97.0,,
367,Wesleyan,11/10/2017,2017-18,21.0,28.0,,
368,Moody Bible Institute,11/10/2017,2017-18,22.0,19.0,,
369,CUNY,11/10/2017,2017-18,48.0,47.0,,
370,Northeastern,11/03/2017,2017-18,90.0,100.0,ProAms,
371,American,11/03/2017,2017-18,108.0,121.0,ProAms,
372,University of Virginia,10/27/2017,2017-18,32.0,34.0,,
373,Yale,10/27/2017,2017-18,173.0,147.0,,
374,George Washington,10/20/2017,2017-18,51.0,60.0,,
375,Brandeis,10/20/2017,2017-18,47.0,45.0,,
376,Penn,10/13/2017,2017-18,64.0,68.0,,
377,Brown,10/13/2017,2017-18,76.0,87.0,,
378,Harvard,10/06/2017,2017-18,160.0,175.0,,
379,Maryland,09/29/2017,2017-18,41.0,43.0,,
380,Tufts,09/29/2017,2017-18,47.0,52.0,,
381,Boston University,09/22/2017,2017-18,108.0,216.0,Novice,
382,Swarthmore,09/22/2017,2017-18,116.0,232.0,Novice,
383,University of North Carolina,09/15/2017,2017-18,15.0,4.0,,
384,Columbia,09/15/2017,2017-18,71.0,29.0,,
385,Williams,09/08/2017,2017-18,23.0,1.0,,
386,William and Mary,09/08/2017,2017-18,24.0,10.0,,
387,Johns Hopkins,09/01/2017,2017-18,29.0,1.0,,
388,University of North Carolina,10/28/2016,2016-17,24.0,21.0,,
389,Boston University,09/23/2016,2016-17,100.0,200.0,Novice,
390,Moody Bible Institute,11/04/2016,2016-17,25.0,34.0,,
391,Rutgers,04/21/2017,2016-17,82.0,42.0,Nationals,
392,William and Mary,04/14/2017,2016-17,34.0,27.0,,
393,University of Albany,04/14/2017,2016-17,28.0,24.0,,
394,Berkeley,04/08/2017,2016-17,19.0,23.0,,
395,Swarthmore,04/07/2017,2016-17,54.0,56.0,,
396,Dartmouth,04/07/2017,2016-17,29.0,29.0,,
397,Princeton,03/31/2017,2016-17,117.0,109.0,,
398,Temple,03/24/2017,2016-17,18.0,18.0,,
399,University of Virginia,03/24/2017,2016-17,24.0,18.0,,
400,Providence College,03/24/2017,2016-17,37.0,29.0,,
401,Binghamton University,03/17/2017,2016-17,8.0,6.0,,
402,Georgetown,03/17/2017,2016-17,34.0,34.0,,
403,Wellesley,03/17/2017,2016-17,39.0,33.0,,
404,American,03/10/2017,2016-17,25.0,25.0,,
405,Brown,03/10/2017,2016-17,52.0,34.0,,
406,Stanford,03/04/2017,2016-17,74.0,49.0,,
407,The College of New Jersey,03/03/2017,2016-17,41.0,47.0,,
408,George Washington,02/24/2017,2016-17,48.0,45.0,,
409,Boston University,02/24/2017,2016-17,55.0,42.0,,
410,NYU,02/17/2017,2016-17,50.0,62.0,ProAms,
411,Yale,02/17/2017,2016-17,95.0,104.0,ProAms,
412,Tulane,02/10/2017,2016-17,26.0,20.0,,
413,Franklin and Marshall,02/10/2017,2016-17,28.0,21.0,,
414,Northeastern,02/10/2017,2016-17,51.0,40.0,,
415,Rutgers,02/03/2017,2016-17,109.0,96.0,,
416,Washington University in St. Louis,01/27/2017,2016-17,20.0,21.0,,
417,Carnegie Mellon,01/27/2017,2016-17,24.0,20.0,,
418,Tufts,01/27/2017,2016-17,63.0,47.0,,
419,University of Chicago,01/13/2017,2016-17,22.0,11.0,,
420,University of North Carolina,01/13/2017,2016-17,14.0,10.0,,
421,Bates,01/13/2017,2016-17,18.0,24.0,,
422,Williams,01/06/2017,2016-17,26.0,20.0,,
423,Wesleyan,12/02/2016,2016-17,20.0,13.0,,
424,Brandeis,12/02/2016,2016-17,116.0,0.0,,
425,Fordham,11/18/2016,2016-17,109.0,88.0,,
426,CUNY,11/11/2016,2016-17,53.0,51.0,,
427,Brown,11/11/2016,2016-17,73.0,87.0,,
428,The College of New Jersey,11/04/2016,2016-17,44.0,47.0,,
429,Yale,11/04/2016,2016-17,183.0,139.0,,
430,Brandeis,10/28/2016,2016-17,77.0,66.0,,
431,George Washington,10/21/2016,2016-17,77.0,76.0,,
432,Northeastern,10/14/2016,2016-17,82.0,91.0,ProAms,
433,American,10/14/2016,2016-17,79.0,93.0,ProAms,
434,Harvard,10/07/2016,2016-17,155.0,147.0,,
435,University of Pittsburgh,09/30/2016,2016-17,15.0,14.0,,
436,Tufts,09/30/2016,2016-17,72.0,68.0,,
437,Swarthmore,09/23/2016,2016-17,96.0,192.0,Novice,
438,Columbia,09/16/2016,2016-17,84.0,37.0,,
439,Smith,09/09/2016,2016-17,43.0,27.0,,
440,William and Mary,09/09/2016,2016-17,27.0,16.0,,
441,Johns Hopkins,09/02/2016,2016-17,44.0,19.0,,
442,Berkeley,04/08/2016,2015-16,8.0,3.0,,
443,CUNY,01/08/2016,2015-16,35.0,37.0,,
